"Time (s)"	"Illuminance (lx)"
1.258607533E1	2.929500000E4
1.262620528E1	2.942500000E4
1.266636576E1	2.944900000E4
1.270649571E1	2.952200000E4
1.274723601E1	2.960500000E4
1.278681666E1	2.974900000E4
1.282697713E1	2.985100000E4
1.286716813E1	3.000700000E4
1.290732860E1	3.008000000E4
1.294748907E1	3.016100000E4
1.298822937E1	3.022400000E4
1.302781002E1	3.024800000E4
1.306797049E1	3.023400000E4
1.310813097E1	3.022400000E4
1.314832196E1	3.016100000E4
1.318845192E1	3.016500000E4
1.322916170E1	3.026200000E4
1.326877286E1	3.034300000E4
1.330893334E1	3.041600000E4
1.334909381E1	3.045200000E4
1.338934584E1	3.047900000E4
1.342941476E1	3.043000000E4
1.347012454E1	3.035700000E4
1.350973571E1	3.034300000E4
1.354980463E1	3.032600000E4
1.358996510E1	3.030100000E4
1.367028605E1	3.028700000E4
1.371102635E1	3.020600000E4
1.375063752E1	3.014800000E4
1.379079799E1	3.015800000E4
1.383095846E1	3.024500000E4
1.387111894E1	3.027700000E4
1.391127941E1	3.027000000E4
1.399160036E1	3.025200000E4
1.403176083E1	3.023100000E4
1.407192131E1	3.017500000E4
1.411208178E1	3.014000000E4
1.415215070E1	3.001100000E4
1.419286048E1	2.991400000E4
1.423244113E1	2.972900000E4
1.427260161E1	2.960700000E4
1.431276208E1	2.946300000E4
1.435295307E1	2.941500000E4
1.439308303E1	2.935600000E4
1.443376229E1	2.927100000E4
1.447337346E1	2.913200000E4
1.451353393E1	2.900600000E4
1.455366389E1	2.885600000E4
1.459385488E1	2.877600000E4
1.463398484E1	2.870300000E4
1.467469462E1	2.863000000E4
1.471424475E1	2.855700000E4
1.475434419E1	2.845200000E4
1.479450467E1	2.839300000E4
1.483469566E1	2.819800000E4
1.487482561E1	2.802700000E4
1.491556591E1	2.765700000E4
1.495514656E1	2.739900000E4
1.499530704E1	2.684400000E4
1.503546751E1	2.637300000E4
1.507565850E1	2.553800000E4
1.511575794E1	2.502900000E4
1.515646772E1	2.421500000E4
1.519601785E1	2.369900000E4
1.523614781E1	2.296600000E4
1.527627777E1	2.242500000E4
1.531646876E1	2.187700000E4
1.535656820E1	2.098700000E4
1.539730850E1	2.034900000E4
1.543691966E1	1.925600000E4
1.547704962E1	1.850100000E4
1.551724061E1	1.749700000E4
1.555740108E1	1.679800000E4
1.559753104E1	1.575400000E4
1.563827134E1	1.511400000E4
1.567788251E1	1.417000000E4
1.571801246E1	1.356200000E4
1.575820345E1	1.273700000E4
1.579836393E1	1.226500000E4
1.583849388E1	1.159800000E4
1.587923418E1	1.115000000E4
1.591881483E1	1.051700000E4
1.595897531E1	1.010400000E4
1.599916630E1	9.703000000E3
1.603932677E1	9.097000000E3
1.607948724E1	8.694000000E3
1.612019702E1	8.099000000E3
1.615980819E1	7.717000000E3
1.619993815E1	7.175000000E3
1.624009862E1	6.856000000E3
1.628028961E1	6.448000000E3
1.632041957E1	6.178000000E3
1.636115987E1	5.779000000E3
1.640074052E1	5.524000000E3
1.648103095E1	4.822000000E3
1.652119142E1	4.493000000E3
1.656122983E1	4.317000000E3
1.660193961E1	4.070000000E3
1.664155078E1	3.901000000E3
1.668168073E1	3.744000000E3
1.672184121E1	3.526000000E3
1.676203220E1	3.373000000E3
1.680216216E1	3.143000000E3
1.684284142E1	3.001000000E3
1.688242207E1	2.817000000E3
1.692249099E1	2.714000000E3
1.696259043E1	2.597000000E3
1.704288086E1	2.428000000E3
1.708349909E1	2.355000000E3
1.712311026E1	2.244000000E3
1.716327073E1	2.173000000E3
1.720340069E1	2.067000000E3
1.724356116E1	1.998000000E3
1.728372164E1	1.931000000E3
1.732440090E1	1.840000000E3
1.736398155E1	1.777000000E3
1.740411151E1	1.693000000E3
1.744430250E1	1.641000000E3
1.748446297E1	1.565000000E3
1.752462344E1	1.521000000E3
1.756533323E1	1.463000000E3
1.760494439E1	1.437000000E3
1.764507435E1	1.400000000E3
1.768526534E1	1.366000000E3
1.772542582E1	1.314000000E3
1.780629607E1	1.224000000E3
1.784590724E1	1.187000000E3
1.788606771E1	1.131000000E3
1.792622818E1	1.096000000E3
1.796638866E1	1.057000000E3
1.800654913E1	1.012000000E3
1.804725891E1	9.840000000E2
1.812709159E1	8.780000000E2
1.816712999E1	8.400000000E2
1.820729047E1	8.060000000E2
1.824745094E1	7.750000000E2
1.828816072E1	7.410000000E2
1.832777189E1	7.130000000E2
1.836793236E1	6.870000000E2
1.840809284E1	6.540000000E2
1.844825331E1	6.230000000E2
1.848835275E1	5.890000000E2
1.852912357E1	5.600000000E2
1.856864318E1	5.420000000E2
1.860880366E1	5.300000000E2
1.864905568E1	5.170000000E2
1.868915512E1	5.060000000E2
1.872931559E1	4.960000000E2
1.877002537E1	4.880000000E2
1.880963654E1	4.780000000E2
1.884976650E1	4.730000000E2
1.888995749E1	4.600000000E2
1.892978986E1	4.490000000E2
1.896995033E1	4.440000000E2
1.901069063E1	4.310000000E2
1.909046227E1	4.210000000E2
1.913059223E1	4.110000000E2
1.917069167E1	4.080000000E2
1.921082162E1	3.980000000E2
1.925153140E1	3.920000000E2
1.933127253E1	3.850000000E2
1.941162399E1	3.740000000E2
1.945178447E1	3.690000000E2
1.949249425E1	3.640000000E2
1.953210541E1	3.620000000E2
