"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.253299756E0	-8.609087020E-2	1.346693039E-1	2.444030643E-1	2.920279390E-1
1.261356288E0	-5.716317147E-2	1.178941727E-1	3.992614150E-1	4.202098781E-1
1.269412819E0	-4.363311455E-3	1.082906723E-1	4.065971375E-1	4.207934652E-1
1.277469351E0	1.010346040E-2	1.226129532E-1	2.360446006E-1	2.661823993E-1
1.285525882E0	1.953866705E-2	1.297378540E-1	-4.733085260E-2	1.394771662E-1
1.293551897E0	4.119426012E-4	1.320676804E-1	-2.530174851E-1	2.854117897E-1
1.301608428E0	-1.397664845E-2	1.631383896E-1	-3.538024724E-1	3.898533959E-1
1.309664960E0	-2.348609082E-2	1.152153015E-1	-3.245263994E-1	3.451717631E-1
1.317721491E0	-6.766572595E-3	1.391305923E-1	-2.320978492E-1	2.706889725E-1
1.325778022E0	-3.317118064E-2	1.319341660E-1	-5.018820241E-2	1.450027828E-1
1.333834554E0	-2.138911933E-2	1.223459244E-1	1.456144303E-1	1.913885627E-1
1.341891086E0	-2.367608249E-3	1.223306656E-1	2.151726484E-1	2.475271014E-1
1.349917100E0	1.657090336E-2	1.342840195E-1	1.800434589E-1	2.252164289E-1
1.357973631E0	2.849836275E-2	1.462326050E-1	5.257596821E-2	1.579884928E-1
1.366030163E0	-2.482172102E-3	1.079006195E-1	-8.846629411E-2	1.395528218E-1
1.374086694E0	-4.552504793E-2	1.533699036E-1	-1.316422522E-1	2.071823831E-1
1.382143226E0	-4.058730230E-2	1.509580612E-1	-1.728195995E-1	2.330284947E-1
1.390199758E0	4.774812609E-3	1.174268723E-1	-1.523318738E-1	1.923976843E-1
1.398256289E0	1.188186929E-2	1.006574631E-1	-1.446680576E-1	1.766407387E-1
1.406282303E0	-1.934358105E-2	1.341714859E-1	-1.638774425E-1	2.126781087E-1
1.414338835E0	-3.127674386E-2	1.269836426E-1	-2.051149607E-1	2.432595883E-1
1.422395367E0	-1.933306083E-2	1.341629028E-1	-2.064837217E-1	2.469999576E-1
1.430451898E0	9.116787463E-3	1.174039841E-1	-1.490438282E-1	1.899496618E-1
1.438508430E0	3.779021651E-2	1.174087524E-1	-6.840012968E-2	1.410372056E-1
1.446534444E0	2.792567760E-2	1.269874573E-1	2.179682255E-3	1.300400276E-1
1.454590976E0	-1.750058495E-2	1.581163406E-1	5.813185126E-2	1.693704808E-1
1.462647507E0	-4.136807844E-2	1.102352142E-1	1.645430326E-1	2.023302497E-1
1.470704039E0	-3.050327301E-3	1.365737915E-1	1.328120977E-1	1.905275789E-1
1.478760570E0	1.102758944E-2	1.389684677E-1	8.990672231E-2	1.658826738E-1
1.486817102E0	-1.539046317E-2	1.389656067E-1	1.242593452E-1	1.870526425E-1
1.494751564E0	-4.679390043E-2	1.413583755E-1	2.094471455E-1	2.569824239E-1
1.502808096E0	-1.108238846E-2	1.341714859E-1	1.850751936E-1	2.288616050E-1
1.510864628E0	2.196808532E-2	1.341648102E-1	7.791866362E-2	1.566975150E-1
1.518921159E0	5.022328719E-2	1.197938919E-1	-5.739537627E-2	1.420112120E-1
1.526977691E0	4.034764692E-2	1.173934937E-1	-2.165306360E-1	2.495890247E-1
1.535034222E0	-9.933218360E-3	1.149959564E-1	-2.687819600E-1	2.925174881E-1
1.543090754E0	-1.031177044E-1	1.461191177E-1	-1.882884800E-1	2.596855969E-1
1.551147285E0	-6.489522755E-2	1.461181641E-1	-1.663470566E-1	2.307233228E-1
1.559173300E0	1.109100878E-2	1.389379501E-1	-9.933621436E-2	1.711562092E-1
1.567229831E0	7.733327150E-2	1.102123260E-1	-5.713833123E-2	1.462599760E-1
1.575286363E0	6.260711700E-2	1.078205109E-1	-3.472918645E-3	1.247276025E-1
1.583342894E0	7.519584149E-3	1.317653656E-1	2.586220950E-2	1.344898122E-1
1.591399425E0	-1.374883205E-2	1.317672729E-1	1.699851826E-2	1.335686873E-1
1.599455957E0	3.406447172E-2	1.150102615E-1	7.817614824E-4	1.199514887E-1
1.607512489E0	-2.091229521E-2	9.825420380E-2	4.703897983E-2	1.109228483E-1
1.615538503E0	1.279255375E-2	1.365642548E-1	3.839059547E-2	1.424334333E-1
1.623595034E0	1.114245504E-3	1.509304047E-1	1.137425601E-1	1.889936469E-1
1.631651566E0	-2.306669578E-2	1.485395432E-1	2.396804094E-1	2.829183045E-1
1.639708097E0	3.026656806E-3	1.269950867E-1	2.676640749E-1	2.962785340E-1
1.647764629E0	5.310162529E-2	1.198129654E-1	1.482076198E-1	1.978393991E-1
1.655790643E0	4.571151361E-2	1.437520981E-1	-6.034914404E-3	1.509656530E-1
1.663847175E0	1.220072433E-2	1.126222610E-1	-1.901326030E-1	2.213211199E-1
1.671903706E0	-1.638531871E-2	1.054344177E-1	-2.480645180E-1	2.700387013E-1
1.679960238E0	-5.708470196E-2	1.461353302E-1	-2.135824412E-1	2.650125603E-1
1.688016770E0	-2.857581340E-2	1.269826889E-1	-1.038098484E-1	1.664862307E-1
1.696073301E0	3.563450277E-2	1.102266312E-1	1.218324341E-2	1.164824426E-1
1.704099315E0	5.688040704E-2	1.198072433E-1	1.375958323E-1	1.911066962E-1
1.712155847E0	2.555485442E-2	9.586811066E-2	1.149854138E-1	1.518729424E-1
1.720212379E0	2.793532610E-2	1.150236130E-1	3.811780736E-2	1.243534528E-1
1.728268910E0	-4.613938183E-2	1.126298904E-1	-4.617683589E-5	1.217141607E-1
1.736325442E0	-7.956044376E-2	1.581172943E-1	-9.528748691E-3	1.772617839E-1
1.744381973E0	-1.036868803E-2	1.365699768E-1	-4.539524764E-2	1.442899746E-1
1.752407987E0	4.172770679E-2	1.150245667E-1	-4.549242556E-2	1.305427640E-1
1.760434002E0	4.617503658E-2	1.341810226E-1	-2.686005831E-2	1.444234869E-1
1.768490533E0	2.207578346E-2	1.150293350E-1	-5.963895470E-3	1.172802463E-1
1.776516548E0	1.017857343E-2	1.437606812E-1	-4.024931788E-2	1.496353715E-1
1.784573079E0	5.747340620E-4	1.317920685E-1	-6.505049765E-2	1.469729461E-1
1.792568576E0	5.233224481E-3	1.078538895E-1	-6.851444393E-2	1.278830604E-1
1.800625108E0	-9.155660868E-3	1.318006516E-1	-4.861437529E-2	1.407785330E-1
1.808681640E0	-8.826047182E-2	1.557483673E-1	4.282243550E-2	1.840685356E-1
1.816738171E0	-9.613633156E-3	1.413917542E-1	1.269060969E-1	1.902346118E-1
1.824764185E0	4.956658185E-2	1.054859161E-1	9.658182412E-2	1.513676758E-1
1.832820717E0	5.395618826E-2	1.126737595E-1	7.662013173E-2	1.465513252E-1
1.840877248E0	2.501534671E-2	1.126747131E-1	-4.069544375E-4	1.154189073E-1
1.848933780E0	-3.714781255E-3	1.222534180E-1	-3.426458314E-2	1.270187367E-1
1.856990312E0	-4.197232425E-2	1.246490479E-1	2.261827514E-2	1.334565379E-1
1.864985809E0	-3.462357074E-2	1.222581863E-1	1.105923727E-1	1.684533427E-1
1.873011823E0	-6.191257387E-3	1.462011337E-1	1.126328409E-1	1.846598495E-1
1.881037837E0	5.097176880E-2	1.222591400E-1	3.618890047E-2	1.373137103E-1
1.889094369E0	3.164207190E-2	1.246538162E-1	-4.005949944E-3	1.286695078E-1
1.897120383E0	-2.103475295E-2	1.366233826E-1	-6.811963022E-2	1.541061112E-1
1.905176915E0	-1.370689087E-2	1.414089203E-1	-1.754714251E-1	2.257755137E-1
1.913233446E0	2.194382623E-2	1.342267990E-1	-2.545416951E-1	2.885997915E-1
