"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.106346525E0	1.256204844E-1	8.487701416E-2	5.196225643E-2	1.602644368E-1
2.114403047E0	9.306627512E-2	4.158782959E-2	1.490664482E-1	1.805870569E-1
2.122429052E0	5.633857846E-2	3.897571564E-2	2.054735422E-1	2.165929786E-1
2.130394022E0	6.055411696E-2	2.433776855E-2	1.232708693E-1	1.394805910E-1
2.138450544E0	1.225613952E-1	5.031013489E-2	2.951705456E-2	1.357337901E-1
2.146507066E0	9.403669834E-2	9.787750244E-2	-1.220339537E-1	1.825244969E-1
2.154533070E0	2.317601442E-2	2.078561783E-1	-1.142089367E-1	2.382960338E-1
2.162589592E0	-2.633067966E-2	2.342834473E-1	3.836274147E-2	2.388592437E-1
2.170615597E0	-1.257479191E-2	1.746082306E-1	1.332792044E-1	2.200216033E-1
2.178672119E0	1.244315505E-2	1.483402252E-1	1.451549530E-1	2.079173271E-1
2.186698124E0	4.673138261E-2	1.243801117E-1	1.934843063E-1	2.347134660E-1
2.194754645E0	7.363253832E-2	5.484199524E-2	1.561244726E-1	1.811194249E-1
2.202780650E0	7.946342230E-2	5.213642120E-2	8.866655827E-2	1.299784615E-1
2.210806654E0	1.244585812E-1	9.470462799E-2	6.768715382E-2	1.704126046E-1
2.218832659E0	9.390839934E-2	1.035814285E-1	1.945495605E-3	1.398273391E-1
2.226858664E0	1.145398617E-2	1.722221375E-1	8.370280266E-3	1.728054398E-1
2.234915186E0	-3.712999821E-2	2.385282516E-1	1.680755615E-2	2.419852424E-1
2.242971708E0	-1.984292269E-2	2.045135498E-1	5.034685135E-3	2.055355971E-1
2.251028229E0	-4.431581497E-2	1.660289764E-1	1.337051392E-3	1.718467346E-1
2.259084751E0	-2.902194858E-2	1.254968643E-1	4.859626293E-2	1.376711053E-1
2.267080239E0	-6.176191568E-2	1.330623627E-1	1.114822626E-1	1.842509741E-1
2.275136761E0	-1.256667972E-1	1.598596573E-1	1.332601309E-1	2.431162611E-1
2.283101731E0	-1.326790154E-1	1.339769363E-1	1.551916599E-1	2.442089104E-1
2.291158253E0	-1.183590889E-1	1.366195679E-1	1.352059841E-1	2.257308982E-1
2.299184258E0	-7.264393568E-2	8.882522583E-2	7.772970200E-2	1.385964239E-1
2.307210263E0	-4.810762405E-2	1.728134155E-1	-1.937985420E-3	1.793950274E-1
2.315175233E0	4.117724299E-2	1.516885757E-1	-6.373739243E-2	1.696096829E-1
2.323231754E0	1.474611461E-1	7.577800751E-2	-3.372108936E-2	1.691869023E-1
2.331257759E0	3.243617415E-1	9.668350220E-3	-7.462382317E-2	3.329755717E-1
2.339283764E0	4.219450057E-1	-4.921340942E-2	-1.353549957E-1	4.458480933E-1
2.347309768E0	4.020465910E-1	-5.783081055E-2	-1.916681528E-1	4.491353302E-1
2.355335773E0	2.508175969E-1	6.773281097E-2	-1.054531336E-1	2.803882380E-1
2.363392295E0	1.081238389E-1	2.054319382E-1	2.516138554E-2	2.335083319E-1
2.371448817E0	-1.284736395E-2	2.855062485E-1	7.288074493E-2	2.949414784E-1
2.379505339E0	6.400972605E-3	2.718772888E-1	8.909797668E-2	2.861759635E-1
2.387561861E0	5.319705606E-2	1.456260681E-1	7.256114483E-2	1.711782645E-1
2.395618382E0	1.852282882E-1	8.171558380E-2	6.533932686E-2	2.127350065E-1
2.403644388E0	1.386598349E-1	1.330776215E-1	-1.340031624E-3	1.921926087E-1
2.411700909E0	9.370338917E-2	2.041568756E-1	8.680868149E-2	2.408237990E-1
2.419757431E0	7.780584693E-2	2.639665604E-1	1.210756302E-1	3.006516307E-1
2.427813952E0	1.478928328E-2	2.883291245E-1	9.789240360E-2	3.048529639E-1
2.435870474E0	6.635040045E-2	3.204126358E-1	2.192616463E-2	3.279441866E-1
